president,date,total_sentences,dominant_mood,pride_pct,unity_pct,hope_pct,resolve_pct,anger_pct,neutral_pct
Donald J. Trump (2nd Term),"January 20, 2025",177,pride,0.3163841807909605,0.05084745762711865,0.13559322033898305,0.15254237288135594,0.13559322033898305,0.20903954802259886
"Joseph R. Biden, Jr.","January 20, 2021",160,unity,0.2375,0.2625,0.13125,0.19375,0.10625,0.06875
Donald J. Trump (1st Term),"January 20, 2017",89,pride,0.33707865168539325,0.14606741573033707,0.1348314606741573,0.15730337078651685,0.0898876404494382,0.1348314606741573
Barack Obama,"January 21, 2013",91,resolve,0.27472527472527475,0.1978021978021978,0.14285714285714285,0.2857142857142857,0.03296703296703297,0.06593406593406594
Barack Obama,"January 20, 2009",117,pride,0.2905982905982906,0.1111111111111111,0.20512820512820512,0.23076923076923078,0.13675213675213677,0.02564102564102564
George W. Bush,"January 20, 2005",98,pride,0.40816326530612246,0.1836734693877551,0.05102040816326531,0.24489795918367346,0.061224489795918366,0.05102040816326531
George W. Bush,"January 20, 2001",94,pride,0.2765957446808511,0.23404255319148937,0.0851063829787234,0.26595744680851063,0.09574468085106383,0.0425531914893617
William J. Clinton,"January 20, 1997",108,hope,0.2777777777777778,0.17592592592592593,0.3425925925925926,0.1111111111111111,0.07407407407407407,0.018518518518518517
William J. Clinton,"January 20, 1993",91,pride,0.31868131868131866,0.14285714285714285,0.16483516483516483,0.1978021978021978,0.13186813186813187,0.04395604395604396
George Bush,"January 20, 1989",150,unity,0.2,0.20666666666666667,0.18,0.14666666666666667,0.14666666666666667,0.12
Ronald Reagan,"January 21, 1985",123,pride,0.35772357723577236,0.17073170731707318,0.15447154471544716,0.17073170731707318,0.08943089430894309,0.056910569105691054
Ronald Reagan,"January 20, 1981",127,pride,0.3543307086614173,0.14173228346456693,0.11811023622047244,0.2047244094488189,0.11811023622047244,0.06299212598425197
Jimmy Carter,"January 20, 1977",52,pride,0.38461538461538464,0.17307692307692307,0.11538461538461539,0.2692307692307692,0.0,0.057692307692307696
Richard Nixon,"January 20, 1973",71,pride,0.22535211267605634,0.22535211267605634,0.15492957746478872,0.16901408450704225,0.16901408450704225,0.056338028169014086
Richard Nixon,"January 20, 1969",103,hope,0.23300970873786409,0.2815533980582524,0.3106796116504854,0.05825242718446602,0.05825242718446602,0.05825242718446602
Lyndon B. Johnson,"January 20, 1965",95,hope,0.25263157894736843,0.21052631578947367,0.2631578947368421,0.18947368421052632,0.05263157894736842,0.031578947368421054
John F. Kennedy,"January 20, 1961",54,resolve,0.2037037037037037,0.2777777777777778,0.07407407407407407,0.3333333333333333,0.037037037037037035,0.07407407407407407
Dwight D. Eisenhower,"January 21, 1957",96,unity,0.21875,0.3020833333333333,0.11458333333333333,0.25,0.041666666666666664,0.07291666666666667
Dwight D. Eisenhower,"January 20, 1953",119,resolve,0.226890756302521,0.25210084033613445,0.15966386554621848,0.2605042016806723,0.07563025210084033,0.025210084033613446
Harry S Truman,"January 20, 1949",120,resolve,0.225,0.18333333333333332,0.175,0.25,0.125,0.041666666666666664
Franklin D. Roosevelt,"January 20, 1945",26,pride,0.3076923076923077,0.15384615384615385,0.11538461538461539,0.3076923076923077,0.0,0.11538461538461539
Franklin D. Roosevelt,"January 20, 1941",64,pride,0.5,0.09375,0.078125,0.203125,0.109375,0.015625
Franklin D. Roosevelt,"January 20, 1937",92,pride,0.25,0.15217391304347827,0.22826086956521738,0.17391304347826086,0.18478260869565216,0.010869565217391304
Franklin D. Roosevelt,"March 04, 1933",85,resolve,0.21176470588235294,0.11764705882352941,0.11764705882352941,0.25882352941176473,0.2,0.09411764705882353
Herbert Hoover,"March 04, 1929",163,pride,0.3067484662576687,0.147239263803681,0.05521472392638037,0.20245398773006135,0.2085889570552147,0.07975460122699386
Calvin Coolidge,"March 04, 1925",196,pride,0.32142857142857145,0.1836734693877551,0.07142857142857142,0.23979591836734693,0.17346938775510204,0.01020408163265306
Warren G. Harding,"March 04, 1921",147,pride,0.272108843537415,0.23809523809523808,0.10884353741496598,0.19727891156462585,0.1360544217687075,0.047619047619047616
Woodrow Wilson,"March 05, 1917",59,unity,0.22033898305084745,0.3220338983050847,0.1016949152542373,0.22033898305084745,0.06779661016949153,0.06779661016949153
Woodrow Wilson,"March 04, 1913",68,hope,0.17647058823529413,0.1323529411764706,0.27941176470588236,0.17647058823529413,0.22058823529411764,0.014705882352941176
